dnp.application_chunk,Application Chunk
dnp.crc_failed,Expert Info
dnp.data_chunk,Data Chunk
dnp.data_chunk.CRC,Data Chunk checksum
dnp.data_chunk.CRC.status,Data Chunk Checksum Status
dnp.data_chunk_len,Data Chunk length
dnp.hdr.CRC.status,Data Link Header Checksum Status
dnp3.addr,Address
dnp3.al.2bit,Value (two bit)
dnp3.al.aiq.b0,Online
dnp3.al.aiq.b1,Restart
dnp3.al.aiq.b2,Comm Fail
dnp3.al.aiq.b3,Remote Force
dnp3.al.aiq.b4,Local Force
dnp3.al.aiq.b5,Over-Range
dnp3.al.aiq.b6,Reference Check
dnp3.al.aiq.b7,Reserved
dnp3.al.ana,Value (16 bit)
dnp3.al.ana.double,Value (double)
dnp3.al.ana.float,Value (float)
dnp3.al.ana.int,Value (16 bit)
dnp3.al.anaout,Output Value (16 bit)
dnp3.al.anaout.double,Output (double)
dnp3.al.anaout.float,Output Value (float)
dnp3.al.anaout.int,Output Value (16 bit)
dnp3.al.aoq.b0,Online
dnp3.al.aoq.b1,Restart
dnp3.al.aoq.b2,Comm Fail
dnp3.al.aoq.b3,Remote Force
dnp3.al.aoq.b4,Local Force
dnp3.al.aoq.b5,Reserved
dnp3.al.aoq.b6,Reserved
dnp3.al.aoq.b7,Reserved
dnp3.al.biq.b0,Online
dnp3.al.biq.b1,Restart
dnp3.al.biq.b2,Comm Fail
dnp3.al.biq.b3,Remote Force
dnp3.al.biq.b4,Local Force
dnp3.al.biq.b5,Chatter Filter
dnp3.al.biq.b6,Reserved
dnp3.al.biq.b7,Point Value
dnp3.al.bit,Value (bit)
dnp3.al.bocs,Commanded State
dnp3.al.boq.b0,Online
dnp3.al.boq.b1,Restart
dnp3.al.boq.b2,Comm Fail
dnp3.al.boq.b3,Remote Force
dnp3.al.boq.b4,Local Force
dnp3.al.boq.b5,Reserved
dnp3.al.boq.b6,Reserved
dnp3.al.boq.b7,Point Value
dnp3.al.cnt,Counter (16 bit)
dnp3.al.con,Confirm
dnp3.al.count,Count
dnp3.al.ctl,Application Control
dnp3.al.ctrlstatus,Control Status
dnp3.al.ctrq.b0,Online
