s7comm.header.protid_raw,s7comm.header.rosctr_raw,s7comm.header.redid_raw,s7comm.header.pduref_raw,s7comm.header.parlg_raw,s7comm.header.datlg_raw,s7comm.header.errcls_raw,s7comm.header.errcod_raw,s7comm.param.func_raw,s7comm.param.itemcount_raw,s7comm.data.item_raw,s7comm.data.item_raw,s7comm.data.item_raw,s7comm.data.item_raw,s7comm.data.item_raw
32,03,0000,01f8,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,01f9,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,01fa,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,01fb,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,01fc,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,01fd,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,01fe,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,01ff,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,0101,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,0102,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,0103,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,0104,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,0105,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,0106,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,0107,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,0108,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,0109,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,010a,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,010b,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
32,03,0000,010c,0002,001d,00,00,04,05,ff03000100,ff03000100,ff03000100,ff03000100,ff03000100
